train_header,entry_time,origin_node_id,destination_node_id,direction,speed_multiplier,train_length,tob,hazmat,sa_status_at_origin,terminal_want_time
A1,0,0,39,EASTBOUND,1,1,75,NO,0,90
E1,0,0,39,EASTBOUND,0.55,1,75,NO,0,160
D2,0,17,39,EASTBOUND,0.65,1,75,NO,0,110
C2,0,34,39,EASTBOUND,0.75,1,75,NO,0,60
B1,60,0,39,EASTBOUND,0.85,1,75,NO,-60,160
A2,120,0,39,EASTBOUND,0.95,1,75,NO,0,210
A3,240,0,39,EASTBOUND,1,1,75,NO,0,330
F1,300,0,39,EASTBOUND,0.33,1,125,NO,0,560
B2,480,0,39,EASTBOUND,0.8,1,75,YES,-120,590
C1,540,0,39,EASTBOUND,0.78,1,75,NO,-180,650
D1,600,0,39,EASTBOUND,0.6,1,75,NO,30,740
E2,0,48,0,WESTBOUND,0.45,1,75,NO,0,120
E3,0,39,0,WESTBOUND,0.5,1,75,NO,0,200
B3,60,39,0,WESTBOUND,0.8,2.1,75,NO,30,180
F2,120,39,0,WESTBOUND,0.2,1,75,NO,0,600
C3,300,39,0,WESTBOUND,0.8,1,75,NO,-60,420
E4,360,39,0,WESTBOUND,0.55,1,75,NO,0,540
A4,540,39,0,WESTBOUND,0.95,1,75,NO,-90,650
